Column1|name|pos|team|overallRank|positionRank|passAtt|passComp|passIncomp|passYds|passTds|passInt|rushAtt|rushYds|rushTds|rec|recYds|recTds|returnTds|twoPts|fumbles|cost|risk|sdPts|sdPick|passAttPts|passCompPts|passIncompPts|passYdsPts|passTdsPts|passIntPts|rushAttPts|rushYdsPts|rushTdsPts|recPts|recYdsPts|recTdsPts|twoPtsPts|fumblesPts|projectedPts|upside|projectedCost|
261|Rob Housler|TE|ARI|265|43|0|0|0|0|0|0|0|0|0|29.07306397|329.02|2.000032007|0|0|0.65698038|1|6.756794916|28.77277908|NA|0|0|0|0|0|0|0|0|0|0|32.902|12.00019204|0|-1.313960761|43.58823128|72.36101036|1|
262|Austin Pettis|WR|STL|267|109|0|0|0|0|0|0|0|0|0|24.41975899|310.5414601|2.000024774|0|0|0|1|6.843673251|29.3285065|NA|0|0|0|0|0|0|0|0|0|0|31.05414601|12.00014864|0|0|43.05429465|72.38280115|1|
263|Junior Hemingway|WR|KC|268|110|0|0|0|0|0|0|0|0|0|26|308|2.000023405|0|0|0|1|5.627044477|21.54619843|NA|0|0|0|0|0|0|0|0|0|0|30.8|12.00014043|0|0|42.80014043|64.34633885|1|
264|Stephen Hill|WR|NYJ|270|111|0|0|0|0|0|0|0|0|0|24.00007682|316.4999394|1.799991744|0|0|0|1|3.386925271|21.84777677|2.5|0|0|0|0|0|0|0|0|0|0|31.64999394|10.79995046|0|0|42.44994441|64.29772117|1|
265|Anthony Fasano|TE|KC|266|44|0|0|0|0|0|0|0|0|0|26.00002556|280.595|2.500001464|0|0|0|1|5.551901349|21.06553663|NA|0|0|0|0|0|0|0|0|0|0|28.0595|15.00000879|0|0|43.05950879|64.12504541|1|
266|Santonio Holmes|WR|CHI|276|112|0|0|0|0|0|0|0|0|0|19.425|314.85|1.775052816|0|0|0.443444242|1|6.280871045|25.72847644|NA|0|0|0|0|0|0|0|0|0|0|31.485|10.65031689|0|-0.886888484|41.24842841|66.97690485|1|
267|John Carlson|TE|ARI|274|45|0|0|0|0|0|0|0|0|0|26.99997122|305.9999622|2.000036893|0|0|0.6|1|5.385492665|20.00108404|NA|0|0|0|0|0|0|0|0|0|0|30.59999622|12.00022136|0|-1.2|41.40021758|61.40130162|1|
268|Bilal Powell|RB|NYJ|255|75|0.17|0|0|0|0|0|50.53154239|216.0123126|1.4999702|18|118.25|0.479956055|0|0|0|1|4.983058135|22.89209279|14.2|0|0|0|0|0|0|0|21.60123126|8.9998212|0|11.825|2.879736328|0|0|45.30578879|68.19788159|1|
269|Gavin Escobar|TE|DAL|275|46|0|0|0|0|0|0|0|0|0|21.00000703|263.5|2.499972149|0|0|0|1|5.246376247|20.79593084|17.5|0|0|0|0|0|0|0|0|0|0|26.35|14.99983289|0|0|41.34983289|62.14576373|1|
270|Stedman Bailey|WR|STL|278|114|0|0|0|0|0|0|1|6.549939721|0|24.28087324|301|1.500037297|0|0|0|1|6.18017116|25.08433787|NA|0|0|0|0|0|0|0|0.654993972|0|0|30.1|9.000223781|0|0|39.75521775|64.83955562|1|
